"OFC","Motor","Rstr","SSctx","Cstr","Amyg","VisIp","VisC","AudC","Thal","Tect"
0,0,0,0,0,47.3663366336634,1,0,3.45,0,0
0,0,0,0,95.8655462184874,43.7227722772277,0,0,0,0,0
0,0,0,0,0,0,3,0,37.95,0,0
0,0,0,0,9.27731092436975,14.5742574257426,6,0,269.1,1.57264957264957,0
0,0,0,0,0,0,7,4.34645669291339,31.05,0,0
0,0,0,0,55.6638655462185,136.633663366337,0,0,100.05,0,0
0,0,4.32941176470588,0,129.882352941176,69.2277227722772,1,4.34645669291339,138,0,0
1.08554572271386,0,2.16470588235294,0,182.453781512605,58.2970297029703,0,0,0,0,0
0,0,0,0,9.27731092436975,14.5742574257426,6,0,269.1,1.57264957264957,0
0,0,0,0,95.8655462184874,43.7227722772277,0,0,0,0,0
0,0,0,0,0,0,0,0,1.15,1316.30769230769,929.049180327869
0,0,0,0,0,0,0,0,0,110.08547008547,18.0983606557377
0,0,0,0,0,0,12,0,128.8,0,0
0,0,0,0,0,0,0,0,0,591.316239316239,309.68306010929
0,0,0,0,3.09243697478992,0,0,0,1.15,915.282051282051,146.79781420765
0,0,0,0,3.09243697478992,0,0,0,0,443.487179487179,118.644808743169
0,0,0,0,49.4789915966387,10.9306930693069,0,0,108.1,0,0
18.4542772861357,0,4.32941176470588,0,86.5882352941177,54.6534653465347,0,13.0393700787402,220.8,0,0
0,0,0,0,0,0,0,0,0,66.0512820512821,10.0546448087432
0,0,0,0,0,0,0,0,0,478.08547008547,20.1092896174863
1.08554572271386,0,10.8235294117647,0,58.7563025210084,12.7524752475248,3,0,0,1.57264957264957,0
0,0,0,0,0,0,0,0,0,119.521367521368,48.2622950819672
0,0,0,0,12.3697478991597,3.64356435643564,0,1.4488188976378,105.8,0,0
0,0,0,0,0,0,0,0,0,478.08547008547,20.1092896174863
0,0,0,0,0,0,0,0,31.05,0,0
0,0,0,0,0,0,0,0,1.15,539.418803418803,0
0,0,0,0,0,0,0,0,0,290.940170940171,0
0,0,0,0,0,0,0,0,0,125.811965811966,0
0,0,0,0,0,0,0,0,0,17.2991452991453,0
0,0,0,0,0,0,0,0,0,352.273504273504,0
1.08554572271386,0,0,4.8,0,49.1881188118812,16,0,0,0,0
