"PFC","ORB","MO","SS","AUD","ACA","PTL","VIS","RSC","brain"
0,0,0,2.76258992805755,13.2413793103448,0,4.21978021978022,10.8936170212766,5.00869565217391,"one"
0,0,10.1946902654867,1.38129496402878,0,2.43037974683544,2.10989010989011,6.80851063829787,16.695652173913,"one"
0,0,0,0,0,0,0,0,11.6869565217391,"one"
0,5.38317757009346,0,0,3.31034482758621,0,0,10.8936170212766,0,"one"
0,0,0,4.14388489208633,18.2068965517241,0,6.32967032967033,5.4468085106383,0,"one"
0,0,0,0,19.8620689655172,2.43037974683544,2.10989010989011,5.4468085106383,13.3565217391304,"one"
0,0,20.3893805309735,6.90647482014388,64.551724137931,2.43037974683544,59.0769230769231,77.6170212765957,115.2,"one"
0,0,0,1.38129496402878,24.8275862068966,0,0,24.5106382978723,26.7130434782609,"one"
4.31460674157303,7.17757009345794,0,4.14388489208633,4.96551724137931,0,0,0,0,"one"
10.7865168539326,1.79439252336449,23.787610619469,6.90647482014388,19.8620689655172,19.4430379746835,16.8791208791209,20.4255319148936,43.4086956521739,"one"
6.47191011235955,7.17757009345794,25.4867256637168,49.726618705036,1.6551724137931,19.4430379746835,52.7472527472528,32.6808510638298,11.6869565217391,"one"
0,0,0,1.38129496402878,0,0,12.6593406593407,1.36170212765957,0,"one"
0,0,0,2.76258992805755,4.96551724137931,0,21.0989010989011,49.0212765957447,20.0347826086957,"one"
0,0,0,0,48,0,6.32967032967033,121.191489361702,8.34782608695652,"one"
0,0,0,9.66906474820144,8.27586206896552,0,6.32967032967033,91.2340425531915,0,"one"
0,0,0,0,26.4827586206897,0,8.43956043956044,10.8936170212766,3.33913043478261,"one"
2.15730337078652,3.58878504672897,0,33.1510791366906,11.5862068965517,0,42.1978021978022,17.7021276595745,8.34782608695652,"one"
0,1.79439252336449,0,1.38129496402878,4.96551724137931,0,2.10989010989011,8.17021276595745,0,"one"
0,0,0,2.76258992805755,0,0,0,14.9787234042553,11.6869565217391,"one"
0,0,8.49557522123894,2.76258992805755,0,14.5822784810127,4.21978021978022,43.5744680851064,0,"one"
4.31460674157303,10.7663551401869,28.8849557522124,19.3381294964029,16.551724137931,21.873417721519,75.956043956044,17.7021276595745,25.0434782608696,"one"
0,0,0,0,9.93103448275862,0,8.43956043956044,87.1489361702128,0,"one"
