PFC,ORB,MO,SS,ACA,PTL,VIS,RSC,OLF,vStr,dStr,brain,EC
0,0,0,2.762589928,0,4.21978022,10.89361702,5.008695652,0,0,13.39534884,one,MEC
0,0,10.19469027,1.381294964,2.430379747,2.10989011,6.808510638,16.69565217,3.12195122,3.310344828,8.930232558,one,MEC
0,0,0,0,0,0,0,11.68695652,0,0,0,one,MEC
0,5.38317757,0,0,0,0,10.89361702,0,54.63414634,0,25.6744186,one,MEC
0,0,0,4.143884892,0,6.32967033,5.446808511,0,49.95121951,9.931034483,32.37209302,one,MEC
0,0,0,0,2.430379747,2.10989011,5.446808511,13.35652174,3.12195122,0,5.581395349,one,MEC
0,0,20.38938053,6.90647482,2.430379747,59.07692308,77.61702128,115.2,9.365853659,4.965517241,20.09302326,one,MEC
0,0,0,1.381294964,0,0,24.5106383,26.71304348,0,0,0,one,MEC
4.314606742,7.177570093,0,4.143884892,0,0,0,0,101.4634146,1.655172414,46.88372093,one,MEC
10.78651685,1.794392523,23.78761062,6.90647482,19.44303797,16.87912088,20.42553191,43.40869565,45.26829268,3.310344828,26.79069767,one,MEC
6.471910112,7.177570093,25.48672566,49.72661871,19.44303797,52.74725275,32.68085106,11.68695652,18.73170732,1.655172414,36.8372093,one,MEC
0,0,0,1.381294964,0,12.65934066,1.361702128,0,20.29268293,9.931034483,73.6744186,one,MEC
0,0,0,2.762589928,0,21.0989011,49.0212766,20.03478261,18.73170732,0,20.09302326,one,MEC
0,0,0,0,0,6.32967033,121.1914894,8.347826087,0,0,0,one,MEC
0,0,0,9.669064748,0,6.32967033,91.23404255,0,18.73170732,8.275862069,111.627907,one,MEC
0,0,0,0,0,8.43956044,10.89361702,3.339130435,14.04878049,0,0,one,MEC
2.157303371,3.588785047,0,33.15107914,0,42.1978022,17.70212766,8.347826087,4.682926829,3.310344828,44.65116279,one,MEC
0,1.794392523,0,1.381294964,0,2.10989011,8.170212766,0,216.9756098,52.96551724,10.04651163,one,MEC
0,0,0,2.762589928,0,0,14.9787234,11.68695652,3.12195122,0,1.11627907,one,MEC
0,0,8.495575221,2.762589928,14.58227848,4.21978022,43.57446809,0,21.85365854,4.965517241,104.9302326,one,MEC
4.314606742,10.76635514,28.88495575,19.3381295,21.87341772,75.95604396,17.70212766,25.04347826,23.41463415,0,32.37209302,one,MEC
0,0,0,0,0,8.43956044,87.14893617,0,0,0,30.13953488,one,MEC
0,0,0,8.287769784,0,12.65934066,27.23404255,1.669565217,37.46341463,4.965517241,37.95348837,one,MEC
4.314606742,0,15.2920354,4.143884892,17.01265823,16.87912088,25.87234043,3.339130435,0,0,0,one,MEC
0,0,0,0,0,0,19.06382979,15.02608696,21.85365854,0,4.465116279,one,MEC
0,0,0,0,0,8.43956044,31.31914894,30.05217391,0,0,0,one,MEC
0,0,5.097345133,5.525179856,9.721518987,10.54945055,24.5106383,5.008695652,3.12195122,0,58.04651163,one,MEC
0,0,0,1.381294964,0,0,5.446808511,0,6.243902439,0,17.86046512,one,MEC
0,17.94392523,0,0,0,4.21978022,9.531914894,0,87.41463415,6.620689655,108.2790698,one,MEC
2.157303371,7.177570093,0,2.762589928,2.430379747,8.43956044,10.89361702,0,73.36585366,18.20689655,24.55813953,one,MEC
0,0,3.398230088,2.762589928,0,27.42857143,111.6595745,10.0173913,14.04878049,6.620689655,4.465116279,one,MEC
8.629213483,0,0,1.381294964,0,0,0,0,74.92682927,4.965517241,32.37209302,one,MEC
0,0,1.699115044,12.43165468,0,4.21978022,6.808510638,5.008695652,17.17073171,0,31.25581395,one,MEC
0,0,0,1.381294964,0,2.10989011,23.14893617,0,28.09756098,8.275862069,39.06976744,one,MEC
0,7.177570093,3.398230088,0,0,21.0989011,102.1276596,75.13043478,1.56097561,0,135.0697674,one,MEC
0,0,0,0,0,0,5.446808511,0,3.12195122,1.655172414,16.74418605,one,MEC
0,0,0,0,0,0,91.23404255,75.13043478,6.243902439,0,6.697674419,one,MEC
0,0,0,0,0,8.43956044,34.04255319,68.45217391,32.7804878,0,0,one,MEC
8.629213483,0,0,0,0,0,1.361702128,0,34.34146341,0,1.11627907,one,MEC
0,0,0,0,0,0,8.170212766,0,18.73170732,0,30.13953488,one,MEC
0,0,0,11.05035971,4.860759494,44.30769231,13.61702128,111.8608696,65.56097561,6.620689655,183.0697674,one,MEC
0,0,5.097345133,2.762589928,0,2.10989011,17.70212766,55.09565217,1.56097561,0,3.348837209,one,MEC
0,0,0,0,0,4.21978022,29.95744681,5.008695652,0,0,2.23255814,one,MEC
0,0,0,0,0,0,21.78723404,8.347826087,0,0,0,one,MEC
0,5.38317757,10.19469027,9.669064748,4.860759494,14.76923077,36.76595745,83.47826087,54.63414634,18.20689655,59.1627907,one,MEC
0,0,0,1.381294964,0,23.20879121,8.170212766,13.35652174,29.65853659,3.310344828,14.51162791,one,MEC
0,0,5.097345133,30.38848921,0,35.86813187,47.65957447,20.03478261,120.195122,28.13793103,24.55813953,one,MEC
0,0,0,0,0,0,0,28.3826087,0,0,0,one,MEC
0,0,0,0,7.291139241,2.10989011,25.87234043,5.008695652,18.73170732,23.17241379,12.27906977,one,MEC
15.1011236,0,0,0,17.01265823,0,9.531914894,0,0,0,1.11627907,one,MEC
0,3.588785047,0,1.381294964,0,4.21978022,77.61702128,28.3826087,138.9268293,13.24137931,8.930232558,one,MEC
0,0,0,1.381294964,0,21.0989011,5.446808511,0,68.68292683,24.82758621,13.39534884,one,MEC
0,7.177570093,5.097345133,2.762589928,2.430379747,4.21978022,12.25531915,0,46.82926829,28.13793103,15.62790698,one,MEC
0,0,0,1.381294964,0,12.65934066,54.46808511,3.339130435,7.804878049,3.310344828,56.93023256,one,MEC
0,0,5.097345133,4.143884892,7.291139241,12.65934066,9.531914894,18.36521739,0,0,7.813953488,one,MEC
0,0,0,4.143884892,0,4.21978022,13.61702128,20.03478261,6.243902439,0,2.23255814,one,MEC
0,14.35514019,3.398230088,13.81294964,4.860759494,23.20879121,17.70212766,16.69565217,46.82926829,0,52.46511628,one,MEC
0,0,1.699115044,2.762589928,2.430379747,8.43956044,40.85106383,23.37391304,7.804878049,0,8.930232558,one,MEC
0,0,0,0,0,0,1.361702128,5.008695652,42.14634146,0,40.18604651,one,MEC
