Li,LM,AL,AM,PM,RL
2.53584905660377,15.9187817258883,0,0,1.84109589041096,0
0,14.7817258883249,0,0,0,1.65110565110565
0,0,32.5423728813559,10.752,3.68219178082192,0
0,0,26.0338983050847,10.752,0,0
0,12.507614213198,0,0,0,0
0,0,0,32.256,34.9808219178082,0
0,0,4.88135593220339,64.512,3.68219178082192,0
0,0,21.1525423728814,0,0,0
0,0,61.8305084745763,0,1.84109589041096,19.8132678132678
0,1.13705583756345,1.6271186440678,360.192,27.6164383561644,0
0,0,39.0508474576271,48.384,0,13.2088452088452
0,0,4.88135593220339,91.392,0,0
5.07169811320755,0,0,69.888,1.84109589041096,0
0,0,0,112.896,1.84109589041096,0
0,0,55.3220338983051,5.376,0,0
0,0,0,129.024,1.84109589041096,0
0,0,0,338.688,0,1.65110565110565
1.26792452830189,0,1.6271186440678,75.264,5.52328767123288,0
0,0,19.5254237288136,0,0,0
0,0,1.6271186440678,59.136,0,0
0,3.41116751269036,0,80.64,0,0
0,0,0,123.648,5.52328767123288,0
0,3.41116751269036,0,59.136,0,0
0,0,39.0508474576271,0,0,0
0,0,0,91.392,0,0
0,0,0,220.416,1.84109589041096,0
0,0,0,64.512,0,0
1.26792452830189,0,0,123.648,0,0
0,0,0,59.136,0,1.65110565110565
1.26792452830189,2.2741116751269,24.4067796610169,0,0,0
13.9471698113208,43.2081218274112,0,0,0,0
26.6264150943396,75.0456852791878,1.6271186440678,16.128,0,0
0,7.95939086294416,39.0508474576271,0,0,0
12.6792452830189,19.3299492385787,1.6271186440678,32.256,1.84109589041096,0
16.4830188679245,17.0558375634518,0,5.376,0,0
0,0,0,91.392,0,0
5.07169811320755,0,0,75.264,0,0
0,0,0,64.512,25.7753424657534,0
0,1.13705583756345,1.6271186440678,59.136,3.68219178082192,0
3.80377358490566,27.2893401015228,0,0,0,0
1.26792452830189,1.13705583756345,0,69.888,0,0
8.87547169811321,27.2893401015228,1.6271186440678,10.752,0,0
0,15.9187817258883,0,0,0,1.65110565110565
0,0,0,172.032,0,0
0,0,0,91.392,0,0
0,0,0,91.392,0,0
0,0,0,69.888,1.84109589041096,0
7.60754716981132,22.741116751269,0,21.504,0,1.65110565110565
