['PFC']
['ORB']
['MO']
['SS']
['ACA']
['PTL']
['VIS']
['RSC']
"['PFC', 'ORB']"
"['PFC', 'MO']"
"['PFC', 'SS']"
"['PFC', 'ACA']"
"['PFC', 'VIS']"
"['PFC', 'RSC']"
"['ORB', 'MO']"
"['ORB', 'SS']"
"['ORB', 'ACA']"
"['ORB', 'VIS']"
"['ORB', 'RSC']"
"['MO', 'SS']"
"['MO', 'ACA']"
"['MO', 'VIS']"
"['SS', 'ACA']"
"['SS', 'PTL']"
"['SS', 'VIS']"
"['SS', 'RSC']"
"['ACA', 'VIS']"
"['ACA', 'RSC']"
"['PTL', 'VIS']"
"['PTL', 'RSC']"
"['VIS', 'RSC']"
"['PFC', 'ORB', 'MO']"
"['PFC', 'ORB', 'SS']"
"['PFC', 'ORB', 'ACA']"
"['PFC', 'ORB', 'VIS']"
"['PFC', 'ORB', 'RSC']"
"['PFC', 'MO', 'SS']"
"['PFC', 'MO', 'ACA']"
"['PFC', 'MO', 'VIS']"
"['PFC', 'SS', 'ACA']"
"['PFC', 'SS', 'PTL']"
"['PFC', 'SS', 'VIS']"
"['PFC', 'ACA', 'VIS']"
"['PFC', 'PTL', 'VIS']"
"['PFC', 'VIS', 'RSC']"
"['ORB', 'MO', 'SS']"
"['ORB', 'MO', 'ACA']"
"['ORB', 'MO', 'VIS']"
"['ORB', 'MO', 'RSC']"
"['ORB', 'SS', 'ACA']"
"['ORB', 'SS', 'PTL']"
"['ORB', 'SS', 'VIS']"
"['ORB', 'SS', 'RSC']"
"['ORB', 'ACA', 'VIS']"
"['ORB', 'ACA', 'RSC']"
"['ORB', 'PTL', 'VIS']"
"['ORB', 'VIS', 'RSC']"
"['MO', 'SS', 'ACA']"
"['MO', 'SS', 'PTL']"
"['MO', 'SS', 'VIS']"
"['MO', 'ACA', 'VIS']"
"['MO', 'ACA', 'RSC']"
"['MO', 'PTL', 'VIS']"
"['MO', 'VIS', 'RSC']"
"['SS', 'ACA', 'VIS']"
"['SS', 'ACA', 'RSC']"
"['SS', 'PTL', 'VIS']"
"['SS', 'PTL', 'RSC']"
"['SS', 'VIS', 'RSC']"
"['ACA', 'PTL', 'VIS']"
"['ACA', 'VIS', 'RSC']"
"['PTL', 'VIS', 'RSC']"
"['PFC', 'ORB', 'MO', 'SS']"
"['PFC', 'ORB', 'MO', 'ACA']"
"['PFC', 'ORB', 'MO', 'VIS']"
"['PFC', 'ORB', 'MO', 'RSC']"
"['PFC', 'ORB', 'SS', 'ACA']"
"['PFC', 'ORB', 'SS', 'PTL']"
"['PFC', 'ORB', 'SS', 'VIS']"
"['PFC', 'ORB', 'SS', 'RSC']"
"['PFC', 'ORB', 'ACA', 'VIS']"
"['PFC', 'ORB', 'ACA', 'RSC']"
"['PFC', 'ORB', 'PTL', 'VIS']"
"['PFC', 'ORB', 'VIS', 'RSC']"
"['PFC', 'MO', 'SS', 'ACA']"
"['PFC', 'MO', 'SS', 'PTL']"
"['PFC', 'MO', 'SS', 'VIS']"
"['PFC', 'MO', 'SS', 'RSC']"
"['PFC', 'MO', 'ACA', 'VIS']"
"['PFC', 'MO', 'ACA', 'RSC']"
"['PFC', 'MO', 'PTL', 'VIS']"
"['PFC', 'MO', 'VIS', 'RSC']"
"['PFC', 'SS', 'ACA', 'VIS']"
"['PFC', 'SS', 'ACA', 'RSC']"
"['PFC', 'SS', 'PTL', 'VIS']"
"['PFC', 'SS', 'VIS', 'RSC']"
"['PFC', 'ACA', 'PTL', 'VIS']"
"['PFC', 'ACA', 'VIS', 'RSC']"
"['PFC', 'PTL', 'VIS', 'RSC']"
"['ORB', 'MO', 'SS', 'ACA']"
"['ORB', 'MO', 'SS', 'PTL']"
"['ORB', 'MO', 'SS', 'VIS']"
"['ORB', 'MO', 'SS', 'RSC']"
"['ORB', 'MO', 'ACA', 'VIS']"
"['ORB', 'MO', 'PTL', 'VIS']"
"['ORB', 'MO', 'VIS', 'RSC']"
"['ORB', 'SS', 'ACA', 'PTL']"
"['ORB', 'SS', 'ACA', 'VIS']"
"['ORB', 'SS', 'PTL', 'VIS']"
"['ORB', 'SS', 'PTL', 'RSC']"
"['ORB', 'SS', 'VIS', 'RSC']"
"['ORB', 'ACA', 'PTL', 'VIS']"
"['ORB', 'ACA', 'VIS', 'RSC']"
"['ORB', 'PTL', 'VIS', 'RSC']"
"['MO', 'SS', 'ACA', 'VIS']"
"['MO', 'SS', 'ACA', 'RSC']"
"['MO', 'SS', 'PTL', 'VIS']"
"['MO', 'SS', 'PTL', 'RSC']"
"['MO', 'SS', 'VIS', 'RSC']"
"['MO', 'ACA', 'PTL', 'VIS']"
"['MO', 'ACA', 'VIS', 'RSC']"
"['MO', 'PTL', 'VIS', 'RSC']"
"['SS', 'ACA', 'PTL', 'VIS']"
"['SS', 'ACA', 'VIS', 'RSC']"
"['SS', 'PTL', 'VIS', 'RSC']"
