cluster_index,projecting,region,Effect_Size,p-value
1,1,PFC,0.9385994553358568,7.412085793934937e-05
1,0,ORB,0.9385994553358568,7.412085793934937e-05
1,0,MO,0.9385994553358568,7.412085793934937e-05
1,0,SS,0.9385994553358568,7.412085793934937e-05
1,0,ACA,0.9385994553358568,7.412085793934937e-05
1,0,PTL,0.9385994553358568,7.412085793934937e-05
1,0,VIS,0.9385994553358568,7.412085793934937e-05
1,0,RSC,0.9385994553358568,7.412085793934937e-05
2,0,PFC,2.8988532765431003,2.6735549230650102e-92
2,1,ORB,2.8988532765431003,2.6735549230650102e-92
2,0,MO,2.8988532765431003,2.6735549230650102e-92
2,0,SS,2.8988532765431003,2.6735549230650102e-92
2,0,ACA,2.8988532765431003,2.6735549230650102e-92
2,0,PTL,2.8988532765431003,2.6735549230650102e-92
2,0,VIS,2.8988532765431003,2.6735549230650102e-92
2,0,RSC,2.8988532765431003,2.6735549230650102e-92
3,0,PFC,-1.5849625007211563,0.00011644557735418094
3,0,ORB,-1.5849625007211563,0.00011644557735418094
3,1,MO,-1.5849625007211563,0.00011644557735418094
3,0,SS,-1.5849625007211563,0.00011644557735418094
3,0,ACA,-1.5849625007211563,0.00011644557735418094
3,0,PTL,-1.5849625007211563,0.00011644557735418094
3,0,VIS,-1.5849625007211563,0.00011644557735418094
3,0,RSC,-1.5849625007211563,0.00011644557735418094
4,0,PFC,1.2976805486406853,1.6770352498748215e-09
4,0,ORB,1.2976805486406853,1.6770352498748215e-09
4,0,MO,1.2976805486406853,1.6770352498748215e-09
4,1,SS,1.2976805486406853,1.6770352498748215e-09
4,0,ACA,1.2976805486406853,1.6770352498748215e-09
4,0,PTL,1.2976805486406853,1.6770352498748215e-09
4,0,VIS,1.2976805486406853,1.6770352498748215e-09
4,0,RSC,1.2976805486406853,1.6770352498748215e-09
5,0,PFC,-3.584962500721156,2.8604164329778977e-09
5,0,ORB,-3.584962500721156,2.8604164329778977e-09
5,0,MO,-3.584962500721156,2.8604164329778977e-09
5,0,SS,-3.584962500721156,2.8604164329778977e-09
5,1,ACA,-3.584962500721156,2.8604164329778977e-09
5,0,PTL,-3.584962500721156,2.8604164329778977e-09
5,0,VIS,-3.584962500721156,2.8604164329778977e-09
5,0,RSC,-3.584962500721156,2.8604164329778977e-09
6,0,PFC,-3.0,2.527645013690653e-08
6,0,ORB,-3.0,2.527645013690653e-08
6,0,MO,-3.0,2.527645013690653e-08
6,0,SS,-3.0,2.527645013690653e-08
6,0,ACA,-3.0,2.527645013690653e-08
6,1,PTL,-3.0,2.527645013690653e-08
6,0,VIS,-3.0,2.527645013690653e-08
6,0,RSC,-3.0,2.527645013690653e-08
7,0,PFC,2.727920454563199,5.764359262209033e-75
7,0,ORB,2.727920454563199,5.764359262209033e-75
7,0,MO,2.727920454563199,5.764359262209033e-75
7,0,SS,2.727920454563199,5.764359262209033e-75
7,0,ACA,2.727920454563199,5.764359262209033e-75
7,0,PTL,2.727920454563199,5.764359262209033e-75
7,1,VIS,2.727920454563199,5.764359262209033e-75
7,0,RSC,2.727920454563199,5.764359262209033e-75
8,0,PFC,1.3219280948873624,6.906023505044537e-10
8,0,ORB,1.3219280948873624,6.906023505044537e-10
8,0,MO,1.3219280948873624,6.906023505044537e-10
8,0,SS,1.3219280948873624,6.906023505044537e-10
8,0,ACA,1.3219280948873624,6.906023505044537e-10
8,0,PTL,1.3219280948873624,6.906023505044537e-10
8,0,VIS,1.3219280948873624,6.906023505044537e-10
8,1,RSC,1.3219280948873624,6.906023505044537e-10
9,1,PFC,3.6173839784135335,3.8505466337889643e-193
9,1,ORB,3.6173839784135335,3.8505466337889643e-193
9,0,MO,3.6173839784135335,3.8505466337889643e-193
9,0,SS,3.6173839784135335,3.8505466337889643e-193
9,0,ACA,3.6173839784135335,3.8505466337889643e-193
9,0,PTL,3.6173839784135335,3.8505466337889643e-193
9,0,VIS,3.6173839784135335,3.8505466337889643e-193
9,0,RSC,3.6173839784135335,3.8505466337889643e-193
10,1,PFC,-0.758991900496205,0.039015468788818966
10,0,ORB,-0.758991900496205,0.039015468788818966
10,1,MO,-0.758991900496205,0.039015468788818966
10,0,SS,-0.758991900496205,0.039015468788818966
10,0,ACA,-0.758991900496205,0.039015468788818966
10,0,PTL,-0.758991900496205,0.039015468788818966
10,0,VIS,-0.758991900496205,0.039015468788818966
10,0,RSC,-0.758991900496205,0.039015468788818966
11,1,PFC,-0.21150410519371174,0.5167001383080684
11,0,ORB,-0.21150410519371174,0.5167001383080684
11,0,MO,-0.21150410519371174,0.5167001383080684
11,1,SS,-0.21150410519371174,0.5167001383080684
11,0,ACA,-0.21150410519371174,0.5167001383080684
11,0,PTL,-0.21150410519371174,0.5167001383080684
